Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,,,2009/10,5.39772530985111,5.39100086159775,5.40445766668293,,,2338813,43329603.9672777,,,Not compared,Not compared,20090000,,,1y
241,Diabetes: QOF prevalence,E92000001,England,E92000001,England,England,Persons,17+ yrs,,,2009/10,5.39772530985111,5.39100086159775,5.40445766668293,,,2338813,43329603.9672777,,,Not compared,Not compared,20090000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,,,2010/11,5.54488786311655,5.53815194938574,5.55163148807272,,,2455937,44291914.6541517,,,Not compared,Not compared,20100000,,,1y
241,Diabetes: QOF prevalence,E92000001,England,E92000001,England,England,Persons,17+ yrs,,,2010/11,5.54488786311655,5.53815194938574,5.55163148807272,,,2455937,44291914.6541517,,,Not compared,Not compared,20100000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,,,2011/12,5.75829069088522,5.75145522082958,5.76513378780886,,,2566288,44566836.5451256,,,Not compared,Not compared,20110000,,,1y
241,Diabetes: QOF prevalence,E92000001,England,E92000001,England,England,Persons,17+ yrs,,,2011/12,5.75829069088522,5.75145522082958,5.76513378780886,,,2566288,44566836.5451256,,,Not compared,Not compared,20110000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,,,2012/13,6.01334892517752,6.00640302905987,6.0203004674757,6.00240010713369,6.02431521013506,2703044,44950726.02028,There is a data quality issue with this value,,Not compared,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Most deprived decile (IMD2019),2012/13,6.71737817500524,6.69383915730264,6.74099398793836,6.6802995847376,6.75464767134868,290874,4330171.5702462,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Second most deprived decile (IMD2019),2012/13,7.09500543869663,7.06510981264019,7.12501786798354,7.04792267451483,7.14237856505991,200231,2822140.190449,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Third more deprived decile (IMD2019),2012/13,5.98300076550162,5.95949454324559,6.0065937820756,5.94597841109672,6.02023888278785,233117,3896322.4164063,Aggregated from all known lower geography values,,Similar,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fourth more deprived decile (IMD2019),2012/13,6.15110160512913,6.12656081528964,6.17573422945949,6.11245035818782,6.1899811443483,225648,3668416.0738272,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fifth more deprived decile (IMD2019),2012/13,6.16940646690905,6.14657543431331,6.19231670853996,6.1334452312326,6.20556460915898,262284,4251365.2067961,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fifth less deprived decile (IMD2019),2012/13,5.8637563210817,5.84230010865811,5.8852864074718,5.82996031171427,5.89773597453756,269157,4590180.51333941,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fourth less deprived decile (IMD2019),2012/13,6.02658297729597,6.00736919663523,6.04585425790506,5.99631513482677,6.0569937595445,354095,5875551.7236548,Aggregated from all known lower geography values,,Similar,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Third less deprived decile (IMD2019),2012/13,5.94890086086597,5.92915963268652,5.96870364734448,5.9178032440667,5.9801515061348,327064,5497889.570686,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Second least deprived decile (IMD2019),2012/13,5.6611711454407,5.64348163266705,5.67891276888675,5.63330413561578,5.68916769779495,370075,6537074.93542294,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Least deprived decile (IMD2019),2012/13,4.88376967742846,4.86118013003714,4.90645878321929,4.84819839447689,4.91958845357885,170034,3481613.8194611,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Most deprived decile (IMD2019),2012/13,6.71737817500524,6.69383915730264,6.74099398793836,6.6802995847376,6.75464767134868,290874,4330171.5702462,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Second most deprived decile (IMD2019),2012/13,7.09500543869663,7.06510981264019,7.12501786798354,7.04792267451483,7.14237856505991,200231,2822140.190449,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Third more deprived decile (IMD2019),2012/13,5.98300076550162,5.95949454324559,6.0065937820756,5.94597841109672,6.02023888278785,233117,3896322.4164063,Aggregated from all known lower geography values,,Similar,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fourth more deprived decile (IMD2019),2012/13,6.04088619223884,6.01750052872321,6.06435687451505,6.00405311563541,6.07793061785333,239972,3972463.5155072,Aggregated from all known lower geography values,,Similar,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fifth more deprived decile (IMD2019),2012/13,6.29869896022474,6.27544182752844,6.32203647117996,6.26206643340947,6.33553130019433,263107,4177164.2312401,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fifth less deprived decile (IMD2019),2012/13,5.83961942906547,5.81713489283162,5.86218546372853,5.80420554153511,5.87523591439227,243105,4163028.1382721,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fourth less deprived decile (IMD2019),2012/13,6.01035002107323,5.9914743667773,6.02928132769376,5.98061445668875,6.04022393221239,365000,6072857.632588,Aggregated from all known lower geography values,,Similar,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Third less deprived decile (IMD2019),2012/13,5.94890086086597,5.92915963268652,5.96870364734448,5.9178032440667,5.9801515061348,327064,5497889.570686,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Second least deprived decile (IMD2019),2012/13,5.66117114543979,5.64348163266613,5.67891276888583,5.63330413561486,5.68916769779402,370075,6537074.935424,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Least deprived decile (IMD2019),2012/13,4.88376967742846,4.86118013003714,4.90645878321929,4.84819839447689,4.91958845357885,170034,3481613.8194611,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Most deprived decile (IMD2019),2012/13,6.77214184802701,6.7524674920552,6.79186935294349,6.74114585629026,6.80326996334095,423176,6248776.3767572,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Second most deprived decile (IMD2019),2012/13,6.31519632188596,6.29616085998488,6.33428544416859,6.28520789023237,6.3453181485037,394993,6254643.2425404,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Third more deprived decile (IMD2019),2012/13,6.1842695216076,6.1648814124194,6.20371457382277,6.15372656743497,6.21495403110316,365598,5911741.050784,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fourth more deprived decile (IMD2019),2012/13,6.33183187189025,6.30901996402513,6.35472066767695,6.29589973847457,6.36795514180532,276288,4363476.56713,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fifth more deprived decile (IMD2019),2012/13,5.77242568729779,5.74912780434239,5.79581217729929,5.73573263637068,5.80933900738046,221365,3834869.6369901,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fifth less deprived decile (IMD2019),2012/13,5.89770258592653,5.87675724438259,5.91871788446215,5.86471027924356,5.93086879945932,285653,4843462.2776951,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Fourth less deprived decile (IMD2019),2012/13,5.84758842488558,5.82515867578046,5.87009915630822,5.81226068506219,5.88311747949968,244944,4188803.694829,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Third less deprived decile (IMD2019),2012/13,5.66584644262127,5.64065267540459,5.6911459499671,5.62617195810706,5.70578378752162,182511,3221248.613924,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Second least deprived decile (IMD2019),2012/13,5.36814419959306,5.34259454723734,5.39380907451881,5.32791289093316,5.40866194108666,159756,2976000.5331472,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"District & UA deprivation deciles in England (IMD2019, 4/23 geography)",Least deprived decile (IMD2019),2012/13,4.77185081771851,4.7482063446946,4.79560710438777,4.73462180680787,4.80935778720861,148295,3107704.026483,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2025, 4/23 geography)",Most deprived decile (IMD2025),2012/13,6.86779574382027,6.8442703100712,6.89139605825722,6.83073770371682,6.905039930623,303931,4425451.9402893,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
241,Diabetes: QOF prevalence,,,E92000001,England,England,Persons,17+ yrs,"County & UA deprivation deciles in England (IMD2025, 4/23 geography)",Second most deprived decile (IMD2025),2012/13,6.76767624956812,6.7390051238616,6.79646046721784,6.72252244034014,6.81311119507803,198766,2936990.374099,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20120000,,,1y
